user_name,parent_name,time
LaboratoryOne,DRxGlass,1442489645.0
Spike92,DRxGlass,1442476349.0
NegativeNegative-,DRxGlass,1442485114.0
rasmusvedel,DRxGlass,1442508069.0
arseniclips,DRxGlass,1442494717.0
Mr_Meeseeksie,DRxGlass,1442497749.0
eyes-open,DRxGlass,1442475159.0
,staffell,1442468041.0
Yungbagel,staffell,1442489776.0
mikkeller,DarthPotter23,1442474489.0
fbloise,gorthiv,1442470010.0
ConductiveCopper,gorthiv,1442504844.0
ReverseKarmaMan,gorthiv,1442527539.0
HolyFridge,najodleglejszy,1442508230.0
DarthPotter23,pasher71,1442472403.0
gorthiv,pasher71,1442460081.0
ItsBOOM,pasher71,1442463626.0
TotesMessenger,pasher71,1442463798.0
YouDontKnowMeOkayyy,,1442471936.0
nickdaisy,,1442473583.0
Spike92,,1442476874.0
antihexe,,1442484476.0
MechanicOfDerp,,1442503709.0
Staxx-Mr-Zero,RELEVANT__SUB,1442479780.0
,RELEVANT__SUB,1442492979.0
PM_MeYourAvocados,RELEVANT__SUB,1442496091.0
KingGoddeth,RELEVANT__SUB,1442506016.0
ElderlyAsianMan,RELEVANT__SUB,1442500334.0
Fez_and_no_Pants,n_s_y,1442494377.0
TehKlien,,1442489590.0
,mixingmemory,1442474678.0
Rokku0702,pee_ess_too,1442494920.0
DRxGlass,joe19d,1442487781.0
7a7p,joe19d,1442501888.0
Spike92,eyes-open,1442476527.0
staffell,,1442477092.0
SgtSlaughterEX,,1442477779.0
99-problems-is-a-lot,,1442475437.0
blackjack1977,mikkeller,1442486616.0
bluethegreat1,fbloise,1442487744.0
St0ned_Hearth,fbloise,1442517596.0
IT6uru,DarthPotter23,1442490704.0
LunchbagRodriguez,gorthiv,1442506727.0
no_context_bot,ItsBOOM,1442463694.0
,TotesMessenger,1442470007.0
frictionqt,TotesMessenger,1442468828.0
,YouDontKnowMeOkayyy,1442476375.0
najodleglejszy,YouDontKnowMeOkayyy,1442479408.0
gunbladerq,YouDontKnowMeOkayyy,1442494967.0
PM_ME_YOUR_TITHS,YouDontKnowMeOkayyy,1442476501.0
,YouDontKnowMeOkayyy,1442530555.0
MaverickRobot,,1442504992.0
,TehKlien,1442508380.0
gspleen,,1442474772.0
Meowi-Waui,,1442508735.0
joe19d,DRxGlass,1442491305.0
Lost_in_Star_Dust,staffell,1442477683.0
Seterrith,no_context_bot,1442469599.0
Eezeebee,no_context_bot,1442471219.0
amblyopicsniper,no_context_bot,1442482182.0
penny-wise,no_context_bot,1442488549.0
Reckoner525,frictionqt,1442489181.0
jjremy,,1442481236.0
,gspleen,1442475279.0
chawmastaflex,gspleen,1442488545.0
tRon_washington,jjremy,1442507473.0
EdricStorm,,1442486086.0
Laroacha_Nova,,1442480992.0
craigishell,chawmastaflex,1442498563.0
,EdricStorm,1442486215.0
WrestlesAtWork,EdricStorm,1442503807.0
jklong55,craigishell,1442501253.0
EdricStorm,,1442492549.0
Crazykuku,,1442472514.0
,,1442472514.0
WelmholtzHatson,,1442472514.0
LordCider,,1442472514.0
matttopotamus,,1442472514.0
WaitWhyNot,Farmertml,1442472514.0
Ymir24,WaitWhyNot,1442490256.0
AreThereAnyMore,WaitWhyNot,1442487736.0
Jondayz,WaitWhyNot,1442491052.0
banditswalker,WaitWhyNot,1442499088.0
rawrtime_nsfw,WaitWhyNot,1442506521.0
smashtheguitar,Ymir24,1442492342.0
SabreGuy2121,Ymir24,1442493758.0
blow_a_stink_muffin,Ymir24,1442496338.0
ktmkid13,Ymir24,1442498193.0
antoniog0711,Ymir24,1442500902.0
,Ymir24,1442493153.0
notsurewhatiam,Ymir24,1442493197.0
ArchetypeX,Ymir24,1442494411.0
abaddamn,Ymir24,1442494461.0
TurdofFrodo,Ymir24,1442494933.0
jpascarella,Ymir24,1442496502.0
MetaMythical,Ymir24,1442498322.0
,Ymir24,1442501732.0
Boochus,Ymir24,1442519903.0
,Ymir24,1442495902.0
UdderTime,Ymir24,1442503323.0
tbspofswag,Ymir24,1442493369.0
Derwak,Ymir24,1442498887.0
tafsonworks,Ymir24,1442503761.0
Farmertml,AreThereAnyMore,1442489223.0
lol_admins_are_dumb,AreThereAnyMore,1442494205.0
Typesalot,AreThereAnyMore,1442492990.0
Ihate2xchromo,AreThereAnyMore,1442497221.0
gumgut,smashtheguitar,1442492696.0
,smashtheguitar,1442494250.0
hdashshh,smashtheguitar,1442498576.0
wtfamireadingdotjpg,smashtheguitar,1442500677.0
ILike2TpunchtheFB,Farmertml,1442495829.0
HarryLillis,Farmertml,1442498666.0
Ohbeejuan,Farmertml,1442499590.0
Carl_GordonJenkins,Farmertml,1442496624.0
TheRudeReefer,Farmertml,1442509812.0
bincyvoss,Farmertml,1442497672.0
LaFleur412,Farmertml,1442498084.0
AreThereAnyMore,lol_admins_are_dumb,1442498829.0
peetusgreens,gumgut,1442499840.0
Sansha_Kuvakei,gumgut,1442493589.0
D_K_Schrute,gumgut,1442497621.0
shatheid,gumgut,1442496843.0
kingrat16,gumgut,1442511307.0
Smokey_Joe,ILike2TpunchtheFB,1442515182.0
ultimatetrekkie,HarryLillis,1442499641.0
Farmertml,Carl_GordonJenkins,1442496697.0
Farmertml,TheRudeReefer,1442509855.0
robot_swagger,bincyvoss,1442499878.0
Farmertml,bincyvoss,1442498422.0
,ultimatetrekkie,1442501822.0
imhereforamusement,Farmertml,1442498851.0
Smokey_Joe,Farmertml,1442515243.0
TheRudeReefer,Farmertml,1442509986.0
darxink,Farmertml,1442472514.0
Farmertml,darxink,1442490181.0
D0NT_PM_ME_ANYTHING,darxink,1442495739.0
ClamsMcOyster,darxink,1442492681.0
Sampsonite_Way_Off,Farmertml,1442492183.0
titanickat,Farmertml,1442498172.0
darxink,D0NT_PM_ME_ANYTHING,1442500306.0
undeadhooligan,Farmertml,1442472514.0
Farmertml,undeadhooligan,1442489645.0
Kitchner,Farmertml,1442490977.0
TextofReason,Farmertml,1442506229.0
mrimperfect,Farmertml,1442504676.0
Farmertml,Kitchner,1442491055.0
Farmertml,mrimperfect,1442505368.0
Kitchner,Farmertml,1442491292.0
Mr420Jack,Farmertml,1442472514.0
Farmertml,Mr420Jack,1442491821.0
Farmertml,Mr420Jack,1442489245.0
,Farmertml,1442472514.0
nuocmam,Farmertml,1442472514.0
