user_name,parent_name,time
,combatwombat8D,1442492786.0
grammatiker,,1442492570.0
caffpanda,combatwombat8D,1442492786.0
Webo_,mypantsareonmyhead,1442492786.0
,,1442492786.0
,Klove128,1442492786.0
Klove128,,1442520564.0
,Klove128,1442521737.0
xtfftc,Karl_Marx_,1442492786.0
josephdevon,BuckNasty89,1442492786.0
ihate_all_niggers,josephdevon,1442491417.0
ShodyLoko,josephdevon,1442498771.0
StretchedEarsArePerf,josephdevon,1442498882.0
,BuckNasty89,1442492786.0
Sir_hammer_time,BuckNasty89,1442492786.0
Arkm7,Sir_hammer_time,1442487224.0
Nixplosion,Sir_hammer_time,1442489500.0
RandomName01,Arkm7,1442489008.0
,Nixplosion,1442490515.0
Holmespump,Nixplosion,1442501103.0
Nixplosion,,1442491169.0
BobSacramanto,work_pajamas,1442492786.0
Arelien,work_pajamas,1442492786.0
work_pajamas,Arelien,1442490443.0
RandomName01,alcalinebattery,1442492786.0
jman4220,MYANSWERISWRONG,1442492786.0
The_Rolling_Stone,jman4220,1442475520.0
leftabitcharlie,guitar_fiend,1442492786.0
,SardaHD,1442492786.0
squrrils72,,1442501360.0
Trollw00t,,1442492786.0
I-wouldnt-trust-me,,1442492786.0
GolgiApparatus1,,1442492786.0
bjacks12,,1442492786.0
jozzarozzer,Karl_Marx_,1442492786.0
Karl_Marx_,jozzarozzer,1442498209.0
i_shirt_u_not,jozzarozzer,1442533351.0
prstele01,Joyjmb,1442492786.0
OnePieceTwoPiece,prstele01,1442505212.0
prstele01,alex3omg,1442492786.0
alex3omg,prstele01,1442505374.0
Murcie,,1442492786.0
,Murcie,1442497678.0
frontaxle,,1442492786.0
kittycatsupreme,LorenzoFirepower,1442492786.0
420big_poppa_pump420,calfonso,1442492786.0
nattetosti,420big_poppa_pump420,1442488322.0
alex3omg,420big_poppa_pump420,1442495631.0
Greasethrow,420big_poppa_pump420,1442501422.0
MyNamesNotDave_,420big_poppa_pump420,1442516003.0
samebrian,420big_poppa_pump420,1442497010.0
MadeSomewhereElse,nattetosti,1442495807.0
basedobesity,samebrian,1442512161.0
samebrian,basedobesity,1442842456.0
FabulousPaul,calfonso,1442492786.0
The_Rolling_Stone,FabulousPaul,1442475608.0
Illinois_Jones,FabulousPaul,1442510799.0
,FabulousPaul,1442475654.0
Ace_of_Clubs,The_Rolling_Stone,1442507073.0
HermesGonzalos2008,The_Rolling_Stone,1442487509.0
,,1442481227.0
Ididntknowwehadaking,HermesGonzalos2008,1442506287.0
mypantsareonmyhead,,1442487782.0
We_Are_The_Romans,mypantsareonmyhead,1442490290.0
Betasheets,mypantsareonmyhead,1442491277.0
Rogerwilco1974,mypantsareonmyhead,1442499722.0
hamdinger125,Rogerwilco1974,1442510838.0
,calfonso,1442492786.0
machinemind,calfonso,1442492786.0
FunkleBurger,machinemind,1442508783.0
machinemind,FunkleBurger,1442509385.0
VenetiaMacGyver,calfonso,1442492786.0
Ace_of_Clubs,calfonso,1442492786.0
savvyxxl,calfonso,1442492786.0
,calfonso,1442492786.0
TheStumpyOne,calfonso,1442492786.0
calfonso,TheStumpyOne,1442515146.0
Karl_Marx_,calfonso,1442492786.0
combatwombat8D,jeneffy,1442492786.0
bodysnatcer,Ace_of_Clubs,1442492786.0
Ace_of_Clubs,bodysnatcer,1442510521.0
grammatiker,,1442492786.0
Klove128,,1442492786.0
,Klove128,1442521737.0
ihate_all_niggers,josephdevon,1442492786.0
ShodyLoko,josephdevon,1442492786.0
StretchedEarsArePerf,josephdevon,1442492786.0
Arkm7,Sir_hammer_time,1442492786.0
RandomName01,Arkm7,1442489008.0
Nixplosion,Sir_hammer_time,1442492786.0
,Nixplosion,1442490515.0
Holmespump,Nixplosion,1442501103.0
Nixplosion,,1442491169.0
work_pajamas,Arelien,1442492786.0
The_Rolling_Stone,jman4220,1442492786.0
squrrils72,,1442492786.0
Karl_Marx_,jozzarozzer,1442492786.0
i_shirt_u_not,jozzarozzer,1442492786.0
OnePieceTwoPiece,prstele01,1442492786.0
alex3omg,prstele01,1442492786.0
,Murcie,1442492786.0
nattetosti,420big_poppa_pump420,1442492786.0
MadeSomewhereElse,nattetosti,1442495807.0
alex3omg,420big_poppa_pump420,1442492786.0
Greasethrow,420big_poppa_pump420,1442492786.0
MyNamesNotDave_,420big_poppa_pump420,1442492786.0
samebrian,420big_poppa_pump420,1442492786.0
basedobesity,samebrian,1442512161.0
samebrian,basedobesity,1442842456.0
The_Rolling_Stone,FabulousPaul,1442492786.0
Ace_of_Clubs,The_Rolling_Stone,1442507073.0
HermesGonzalos2008,The_Rolling_Stone,1442487509.0
Ididntknowwehadaking,HermesGonzalos2008,1442506287.0
Illinois_Jones,FabulousPaul,1442492786.0
,FabulousPaul,1442492786.0
,,1442481227.0
mypantsareonmyhead,,1442487782.0
We_Are_The_Romans,mypantsareonmyhead,1442490290.0
Betasheets,mypantsareonmyhead,1442491277.0
Rogerwilco1974,mypantsareonmyhead,1442499722.0
hamdinger125,Rogerwilco1974,1442510838.0
FunkleBurger,machinemind,1442492786.0
machinemind,FunkleBurger,1442509385.0
calfonso,TheStumpyOne,1442492786.0
Ace_of_Clubs,bodysnatcer,1442492786.0
,Klove128,1442492786.0
RandomName01,Arkm7,1442492786.0
,Nixplosion,1442492786.0
Nixplosion,,1442491169.0
Holmespump,Nixplosion,1442492786.0
MadeSomewhereElse,nattetosti,1442492786.0
basedobesity,samebrian,1442492786.0
samebrian,basedobesity,1442842456.0
Ace_of_Clubs,The_Rolling_Stone,1442492786.0
HermesGonzalos2008,The_Rolling_Stone,1442492786.0
