user_name,parent_name,time
KineticConundrum,TimbuFTZB,1442476380.0
Ommageden,The_Real_Tiger,1442476380.0
makronic,ContentEnt,1442476380.0
makronic,WaxFaster,1442476380.0
AfroStorms,WaxFaster,1442476380.0
CountVonNeckbeard,WaxFaster,1442476380.0
Lots42,WaxFaster,1442476380.0
WTFbeast,infinitetheory,1442476380.0
blh1003,infinitetheory,1442476380.0
dejus,Abandon_The_Thread_,1442476380.0
evictor,Abandon_The_Thread_,1442476380.0
theian01,Abandon_The_Thread_,1442476380.0
knightress_oxhide,Djhg2000,1442476380.0
Lots42,Djhg2000,1442476380.0
soulfusion,Djhg2000,1442476380.0
Lots42,Nofgob,1442476380.0
Idie_999,,1442476380.0
Paxtian,lovesickremix,1442476380.0
fkinusername_432,lovesickremix,1442476380.0
hitokiri-battousai,c4rdi4c4rrest,1442476380.0
mancubus314159,Faawks,1442476380.0
,Faawks,1442476380.0
NotoriousRetard,infinitetheory,1442476380.0
Inariameme,Torpid-O,1442476380.0
mancubus314159,DoxBox,1442476380.0
tyrian89,Lots42,1442476380.0
OgGorrilaKing,Lots42,1442476380.0
fubes2000,NewToSociety,1442476380.0
okraOkra,housebrickstocking,1442476380.0
OgGorrilaKing,HumanContradiction,1442476380.0
c4rdi4c4rrest,A7X4REVer,1442476380.0
pawnman99,KineticConundrum,1442476380.0
haddernanny,makronic,1442476380.0
That_guy1143,makronic,1442476380.0
turtlepowerpizzatime,makronic,1442476380.0
whiskeytaang0,makronic,1442476380.0
esoteric_enigma,makronic,1442476380.0
CaitlinSarah87,AfroStorms,1442476380.0
,AfroStorms,1442476380.0
Lots42,AfroStorms,1442476380.0
greens_and_purples,WTFbeast,1442476380.0
Swordfish08,evictor,1442476380.0
Rabid_Chocobo,knightress_oxhide,1442476380.0
BeyondElectricDreams,knightress_oxhide,1442476380.0
Cathach2,Idie_999,1442476380.0
c4rdi4c4rrest,hitokiri-battousai,1442476380.0
Faawks,mancubus314159,1442476380.0
Faawks,,1442476380.0
AkaGingerr,Inariameme,1442476380.0
Lots42,OgGorrilaKing,1442476380.0
thinkmurphy,OgGorrilaKing,1442476380.0
kurisu7885,fubes2000,1442476380.0
Saelstorm,OgGorrilaKing,1442476380.0
ctrlaltelite,That_guy1143,1442476380.0
geoffaree,That_guy1143,1442476380.0
myiuki,,1442476380.0
InternetDegenerate,greens_and_purples,1442476380.0
TeTrodoToxin4,Cathach2,1442476380.0
weapongod30,kurisu7885,1442476380.0
,kurisu7885,1442476380.0
MrToxnz,Saelstorm,1442476380.0
SlowCB7,myiuki,1442476380.0
m4g1ckmu5hr00m,InternetDegenerate,1442476380.0
,InternetDegenerate,1442476380.0
Adalas,TeTrodoToxin4,1442476380.0
IBlewUpHerDeathstar,weapongod30,1442476380.0
RickSHAW_Tom,weapongod30,1442476380.0
Rogue3StandingBy,MrToxnz,1442476380.0
stat1stick,MrToxnz,1442476380.0
makronic,SlowCB7,1442476380.0
WTFbeast,m4g1ckmu5hr00m,1442476380.0
spamjavelin,m4g1ckmu5hr00m,1442476380.0
MrToxnz,,1442476380.0
VioletMisstery,IBlewUpHerDeathstar,1442476380.0
schmabers,IBlewUpHerDeathstar,1442476380.0
,IBlewUpHerDeathstar,1442476380.0
AlterBridgeFan,IBlewUpHerDeathstar,1442476380.0
weapongod30,RickSHAW_Tom,1442476380.0
,WTFbeast,1442476380.0
,MrToxnz,1442476380.0
